dates_date,dates_month,dates_year,volume,vwap,transactions
2023-07-06,7,2023,120707419,276,1301074
2023-07-07,7,2023,113877074,277,1204966
2023-07-10,7,2023,119424888,269,1360793
2023-07-11,7,2023,91962158,268,1022617
2023-07-12,7,2023,95672096,273,1030817
2023-07-13,7,2023,112643377,274,1143303
2023-07-14,7,2023,120062369,280,1267631
2023-07-17,7,2023,131036703,288,1502635
2023-07-18,7,2023,112430213,290,1261081
2023-07-19,7,2023,142337536,294,1785262
2023-07-20,7,2023,175157173,269,2366829
2023-07-21,7,2023,160727973,261,1641737
2023-07-24,7,2023,137004890,264,1546265
2023-07-25,7,2023,112736277,268,1253631
2023-07-26,7,2023,95643449,264,983277
2023-07-27,7,2023,103688763,262,1205578
2023-07-28,7,2023,111346026,264,1121337
2023-07-31,7,2023,84582172,266,1000105
2023-08-01,8,2023,83645720,262,987672
2023-08-02,8,2023,101741165,254,1221499
2023-08-03,8,2023,97795545,256,1029717
2023-08-04,8,2023,99539907,258,1052951
2023-08-07,8,2023,111084193,247,1357592
2023-08-08,8,2023,96630383,248,1029800
2023-08-09,8,2023,101526974,245,1078043
2023-08-10,8,2023,109498608,246,1138640
2023-08-11,8,2023,99038642,241,1121626
2023-08-14,8,2023,98565731,237,1396377
2023-08-15,8,2023,88185999,235,1052692
2023-08-16,8,2023,112426570,229,1294910
2023-08-17,8,2023,120704917,222,1321070
2023-08-18,8,2023,136244960,215,1455623
2023-08-21,8,2023,135675321,227,1473816
2023-08-22,8,2023,130586984,234,1381420
2023-08-23,8,2023,101077635,235,1084515
2023-08-24,8,2023,99777432,231,1104709
2023-08-25,8,2023,106612231,235,1174889
2023-08-28,8,2023,107673727,238,1146272
2023-08-29,8,2023,134012603,250,1417783
2023-08-30,8,2023,121978637,255,1295115
2023-08-31,8,2023,108861698,258,1066702
2023-09-01,9,2023,132481248,248,1530006
2023-09-05,9,2023,129455425,253,1370036
2023-09-06,9,2023,116952759,249,1210605
2023-09-07,9,2023,115312886,248,1181884
2023-09-08,9,2023,118558435,251,1195152
2023-09-11,9,2023,174667852,268,2038943
2023-09-12,9,2023,135991116,271,1441860
2023-09-13,9,2023,111673737,271,1171063
2023-09-14,9,2023,107709842,274,1157725
2023-09-15,9,2023,133692313,274,1265828
2023-09-18,9,2023,101540959,266,1255060
2023-09-19,9,2023,103677113,264,1069956
2023-09-20,9,2023,122491643,268,1270817
2023-09-21,9,2023,119803341,257,1302275
2023-09-22,9,2023,127524083,251,1375477
2023-09-25,9,2023,104583747,244,1196095
2023-09-26,9,2023,101934431,245,1116799
2023-09-27,9,2023,136585184,240,1393258
2023-09-28,9,2023,117043180,243,1189970
2023-09-29,9,2023,128472729,251,1255457
2023-10-02,10,2023,123810402,249,1312503
2023-10-03,10,2023,101985305,247,1065226
2023-10-04,10,2023,129721567,255,1387951
2023-10-05,10,2023,119159214,259,1197554
2023-10-06,10,2023,118108312,256,1279578
2023-10-09,10,2023,101377947,256,1144671
2023-10-10,10,2023,122656030,264,1241209
2023-10-11,10,2023,103706266,264,1077420
2023-10-12,10,2023,111508114,261,1178130
2023-10-13,10,2023,102137686,254,1103537
2023-10-16,10,2023,88916276,252,1045782
2023-10-17,10,2023,93535509,253,1021349
2023-10-18,10,2023,125116646,246,1469279
2023-10-19,10,2023,170588573,221,2326772
2023-10-20,10,2023,137930095,214,1583137
2023-10-23,10,2023,150453468,211,1657457
2023-10-24,10,2023,118096713,217,1290762
2023-10-25,10,2023,107049087,215,1208565
2023-10-26,10,2023,115095735,208,1274886
2023-10-27,10,2023,94717973,208,1046253
2023-10-30,10,2023,136460923,200,1629404
2023-10-31,10,2023,118053273,199,1387675
2023-11-01,11,2023,121661656,201,1317336
2023-11-02,11,2023,125959421,216,1337243
2023-11-03,11,2023,119526048,221,1247124
2023-11-06,11,2023,116835820,219,1265451
2023-11-07,11,2023,116897380,219,1140820
2023-11-08,11,2023,106384841,220,1069813
2023-11-09,11,2023,142065154,211,1958803
2023-11-10,11,2023,131295153,211,1428602
2023-11-13,11,2023,140428469,221,1472796
2023-11-14,11,2023,149762546,234,1534896
2023-11-15,11,2023,150353975,242,1552666
2023-11-16,11,2023,136774269,235,1390500
2023-11-17,11,2023,142766234,233,1376656
2023-11-20,11,2023,116562402,234,1218181
2023-11-21,11,2023,122248300,240,1216429
2023-11-22,11,2023,118117078,234,1286800
2023-11-24,11,2023,65125203,236,738517
2023-11-27,11,2023,112031163,235,1163102
2023-11-28,11,2023,148549913,241,1509707
2023-11-29,11,2023,135380335,248,1385359
2023-11-30,11,2023,132353076,240,1269308
2023-12-01,12,2023,121303661,236,1293932
2023-12-04,12,2023,104088317,236,1093633
2023-12-05,12,2023,137964815,241,1293977
2023-12-06,12,2023,126436179,243,1204150
2023-12-07,12,2023,107142262,240,1043183
2023-12-08,12,2023,103123229,243,1036360
2023-12-11,12,2023,97911388,240,1127501
2023-12-12,12,2023,95326563,235,1060241
2023-12-13,12,2023,146266957,233,1443516
2023-12-14,12,2023,160645939,248,1655399
2023-12-15,12,2023,135857762,252,1185363
2023-12-18,12,2023,116388940,254,1224002
2023-12-19,12,2023,106690869,256,1030199
2023-12-20,12,2023,125096987,254,1274341
2023-12-21,12,2023,109594227,252,1049924
2023-12-22,12,2023,93368169,255,971207
2023-12-26,12,2023,86892382,256,948750
2023-12-27,12,2023,106481409,261,1042993
2023-12-28,12,2023,113619943,258,1159565
2023-12-29,12,2023,100891578,250,1062988
2024-01-02,1,2024,104654163,248,1177663
2024-01-03,1,2024,121082599,239,1273469
2024-01-04,1,2024,102618283,240,1001611
2024-01-05,1,2024,92488939,237,934668
2024-01-08,1,2024,85163330,238,970810
2024-01-09,1,2024,96701528,234,1054998
2024-01-10,1,2024,91612402,233,937256
2024-01-11,1,2024,105871212,227,1265643
2024-01-12,1,2024,122915812,220,1419628
2024-01-16,1,2024,114835186,219,1357892
2024-01-17,1,2024,103130830,213,1161983
2024-01-18,1,2024,108560656,212,1223035
2024-01-19,1,2024,102120143,210,1122838
2024-01-22,1,2024,117952527,210,1318218
2024-01-23,1,2024,106537446,210,1091192
2024-01-24,1,2024,123285962,208,1478416
2024-01-25,1,2024,197923887,185,2719557
2024-01-26,1,2024,107387389,183,1327741
2024-01-29,1,2024,124961148,188,1435688
2024-01-30,1,2024,109965827,192,1288182
2024-01-31,1,2024,103221430,189,1144880
2024-02-01,2,2024,91843275,187,1047610
2024-02-02,2,2024,110612672,185,1270925
2024-02-05,2,2024,133945447,179,1633993
2024-02-06,2,2024,122575954,183,1204085
2024-02-07,2,2024,111535217,187,1124191
2024-02-08,2,2024,83034043,189,925084
2024-02-09,2,2024,84476347,192,967370
2024-02-12,2,2024,95431097,190,1166263
2024-02-13,2,2024,86759478,184,1089659
2024-02-14,2,2024,81202987,186,924102
2024-02-15,2,2024,120815962,195,1314343
2024-02-16,2,2024,111346705,200,1249787
2024-02-20,2,2024,104537762,192,1220065
2024-02-21,2,2024,103844008,194,1059381
2024-02-22,2,2024,92739461,195,1017519
2024-02-23,2,2024,78841917,193,923289
2024-02-26,2,2024,111628616,198,1169824
2024-02-27,2,2024,108606912,201,1131568
2024-02-28,2,2024,99806173,202,1027322
2024-02-29,2,2024,85905374,201,943617
2024-03-01,3,2024,82243119,201,952621
2024-03-04,3,2024,134301269,190,1697685
2024-03-05,3,2024,119597758,180,1561606
2024-03-06,3,2024,107869464,177,1431860
2024-03-07,3,2024,102129004,177,1139995
2024-03-08,3,2024,85544644,177,1126763
2024-03-11,3,2024,85241528,178,1122686
2024-03-12,3,2024,87303524,176,1086084
2024-03-13,3,2024,106518518,171,1440819
2024-03-14,3,2024,126242246,164,1680187
2024-03-15,3,2024,96978832,162,1107043
2024-03-18,3,2024,108217337,171,1321152
2024-03-19,3,2024,77268528,170,937647
2024-03-20,3,2024,83846726,173,919879
2024-03-21,3,2024,73067414,174,926376
2024-03-22,3,2024,75540637,169,943099
2024-03-25,3,2024,74228615,172,901662
2024-03-26,3,2024,113131227,180,1309171
2024-03-27,3,2024,81804043,179,928815
2024-03-28,3,2024,77633508,176,900670
2024-04-01,4,2024,81562127,173,1050223
2024-04-02,4,2024,116639094,165,1474890
2024-04-03,4,2024,82890791,166,955106
2024-04-04,4,2024,123127860,172,1243816
2024-04-05,4,2024,142987603,166,1549577
2024-04-08,4,2024,104362520,172,1134902
2024-04-09,4,2024,103224375,175,1017414
2024-04-10,4,2024,84490407,171,955349
2024-04-11,4,2024,94500987,172,1028913
2024-04-12,4,2024,64694669,171,763068
2024-04-15,4,2024,99778591,164,1341782
2024-04-16,4,2024,96552691,156,1273493
2024-04-17,4,2024,82235384,155,1005281
2024-04-18,4,2024,95813951,150,1254657
2024-04-19,4,2024,86619782,148,1078846
2024-04-22,4,2024,106810324,141,1403222
2024-04-23,4,2024,123796579,147,1401736
2024-04-24,4,2024,180316986,161,1823871
2024-04-25,4,2024,125931072,165,1361861
2024-04-26,4,2024,109317128,169,1159959
2024-04-29,4,2024,243275829,191,2641180
2024-04-30,4,2024,126656434,185,1319723
2024-05-01,5,2024,92594635,181,1031337
2024-05-02,5,2024,88958756,179,936105
2024-05-03,5,2024,75343673,181,845538
2024-05-06,5,2024,84272924,184,980516
2024-05-07,5,2024,74708154,179,942205
2024-05-08,5,2024,79854520,173,904225
2024-05-09,5,2024,65837398,173,770067
2024-05-10,5,2024,72482318,169,918728
2024-05-13,5,2024,66526102,172,879110
2024-05-14,5,2024,86224294,176,987356
2024-05-15,5,2024,79231129,174,962036
2024-05-16,5,2024,59267811,174,727761
2024-05-17,5,2024,77339073,176,836251
2024-05-20,5,2024,61555732,174,811175
2024-05-21,5,2024,114991067,182,1212410
2024-05-22,5,2024,88166494,180,914276
2024-05-23,5,2024,71613271,176,897414
2024-05-24,5,2024,65270287,178,783928
2024-05-28,5,2024,59434663,175,840421
2024-05-29,5,2024,54300232,176,668398
2024-05-30,5,2024,77349396,178,870144
2024-05-31,5,2024,66508169,176,756896
2024-06-03,6,2024,68118079,178,893062
2024-06-04,6,2024,59777023,175,735840
2024-06-05,6,2024,56814844,174,742225
2024-06-06,6,2024,69438576,176,856337
2024-06-07,6,2024,55543307,177,582272
2024-06-10,6,2024,50440823,175,785539
2024-06-11,6,2024,64249574,169,938223
2024-06-12,6,2024,90153542,176,1112443
2024-06-13,6,2024,118715335,185,1415643
2024-06-14,6,2024,81578715,179,992445
2024-06-17,6,2024,109340095,185,1249948
2024-06-18,6,2024,68714255,184,839222
2024-06-20,6,2024,55627273,182,781019
2024-06-21,6,2024,58960360,182,653754
2024-06-24,6,2024,61688204,184,834957
2024-06-25,6,2024,63280946,185,757400
2024-06-26,6,2024,95064605,193,1157320
2024-06-27,6,2024,72427210,196,879619
2024-06-28,6,2024,94332659,199,1064842
2024-07-01,7,2024,135280878,209,1561567
